date,predicted_sales
2017-08-16,807568.1649540979
2017-08-17,758724.1915464113
2017-08-18,789570.5987008209
2017-08-19,810769.3863066395
2017-08-20,891151.7511274349
2017-08-21,830212.8935839355
2017-08-22,773604.7184855592
2017-08-23,784298.1030760134
2017-08-24,768236.6673513378
2017-08-25,800554.644824544
2017-08-26,813263.358421488
2017-08-27,915478.8465839704
2017-08-28,851710.5332376307
2017-08-29,804701.6823591501
2017-08-30,814366.7040010366
2017-08-31,777238.7417002432
2017-09-01,837340.7119809551
2017-09-02,825202.5925657433
2017-09-03,906574.2820162096
2017-09-04,821262.1495225705
2017-09-05,819838.6633224526
2017-09-06,818369.4906079996
2017-09-07,799251.1683099421
2017-09-08,823736.4143125521
2017-09-09,834833.2076640931
2017-09-10,933264.9216232388
2017-09-11,806459.9641817077
2017-09-12,814444.7316272554
2017-09-13,818159.741962101
2017-09-14,800236.6952189318
